id	answer
ga-IE_0001	A
ga-IE_0002	B
ga-IE_0003	B
ga-IE_0004	C
ga-IE_0005	C
ga-IE_0006	B
ga-IE_0007	B
ga-IE_0008	D
ga-IE_0009	C
ga-IE_0010	C
ga-IE_0011	C
ga-IE_0012	C
ga-IE_0013	B
ga-IE_0014	C
ga-IE_0015	B
ga-IE_0016	B
ga-IE_0017	B
ga-IE_0018	B
ga-IE_0019	A
ga-IE_0020	C
ga-IE_0021	C
ga-IE_0022	B
ga-IE_0023	B
ga-IE_0024	C
ga-IE_0025	D
ga-IE_0026	D
ga-IE_0027	C
ga-IE_0028	C
ga-IE_0029	C
ga-IE_0030	D
ga-IE_0031	D
ga-IE_0032	D
ga-IE_0033	C
ga-IE_0034	C
ga-IE_0035	C
ga-IE_0036	D
ga-IE_0037	D
ga-IE_0038	D
ga-IE_0039	C
ga-IE_0040	C
ga-IE_0041	C
ga-IE_0042	D
ga-IE_0043	D
ga-IE_0044	D
ga-IE_0045	C
ga-IE_0046	D
ga-IE_0047	C
ga-IE_0048	C
ga-IE_0049	D
ga-IE_0050	D
ga-IE_0051	C
ga-IE_0052	D
ga-IE_0053	C
ga-IE_0054	C
ga-IE_0055	B
ga-IE_0056	C
ga-IE_0057	D
ga-IE_0058	D
ga-IE_0059	D
ga-IE_0060	C
ga-IE_0061	C
ga-IE_0062	C
ga-IE_0063	C
ga-IE_0064	B
ga-IE_0065	C
ga-IE_0066	C
ga-IE_0067	B
ga-IE_0068	B
ga-IE_0069	C
ga-IE_0070	B
ga-IE_0071	C
ga-IE_0072	C
ga-IE_0073	C
ga-IE_0074	C
ga-IE_0075	D
ga-IE_0076	D
ga-IE_0077	D
ga-IE_0078	C
ga-IE_0079	C
ga-IE_0080	C
ga-IE_0081	D
ga-IE_0082	D
ga-IE_0083	D
ga-IE_0084	B
ga-IE_0085	C
ga-IE_0086	C
ga-IE_0087	C
ga-IE_0088	B
ga-IE_0089	B
ga-IE_0090	B
ga-IE_0091	C
ga-IE_0092	C
ga-IE_0093	C
ga-IE_0094	C
ga-IE_0095	C
ga-IE_0096	C
ga-IE_0097	D
ga-IE_0098	D
ga-IE_0099	D
ga-IE_0100	C
ga-IE_0101	C
ga-IE_0102	C
ga-IE_0103	D
ga-IE_0104	A
ga-IE_0105	B
ga-IE_0106	B
ga-IE_0107	A
ga-IE_0108	A
ga-IE_0109	B
ga-IE_0110	A
ga-IE_0111	A
ga-IE_0112	A
ga-IE_0113	A
ga-IE_0114	B
ga-IE_0115	B
ga-IE_0116	A
ga-IE_0117	A
ga-IE_0118	B
ga-IE_0119	A
ga-IE_0120	A
ga-IE_0121	A
ga-IE_0122	A
ga-IE_0123	C
ga-IE_0124	B
ga-IE_0125	B
ga-IE_0126	C
ga-IE_0127	B
ga-IE_0128	B
ga-IE_0129	B
ga-IE_0130	B
ga-IE_0131	B
ga-IE_0132	B
ga-IE_0133	C
ga-IE_0134	B
ga-IE_0135	B
ga-IE_0136	B
ga-IE_0137	B
ga-IE_0138	A
ga-IE_0139	B
ga-IE_0140	A
ga-IE_0141	A
ga-IE_0142	A
ga-IE_0143	A
ga-IE_0144	B
